city,state,latitude,longitude,YearMonth,Monthly_Avg_Temp
New York,New York,40.7127837,-74.0059413,2026-01-01,27.316129032258065
New York,New York,40.7127837,-74.0059413,2026-02-01,26.239285714285717
New York,New York,40.7127837,-74.0059413,2026-03-01,44.141935483870974
Los Angeles,California,34.0522342,-118.2436849,2016-01-01,53.041935483870965
Los Angeles,California,34.0522342,-118.2436849,2016-02-01,61.61724137931035
Los Angeles,California,34.0522342,-118.2436849,2016-03-01,60.21935483870968
Los Angeles,California,34.0522342,-118.2436849,2016-04-01,64.67
Los Angeles,California,34.0522342,-118.2436849,2016-05-01,63.46451612903226
Los Angeles,California,34.0522342,-118.2436849,2016-06-01,74.17
Los Angeles,California,34.0522342,-118.2436849,2016-07-01,76.90645161290323
Los Angeles,California,34.0522342,-118.2436849,2016-08-01,76.63548387096773
Los Angeles,California,34.0522342,-118.2436849,2016-09-01,73.61666666666666
Los Angeles,California,34.0522342,-118.2436849,2016-10-01,69.2258064516129
Los Angeles,California,34.0522342,-118.2436849,2016-11-01,63.17666666666666
Los Angeles,California,34.0522342,-118.2436849,2016-12-01,53.748387096774195
Los Angeles,California,34.0522342,-118.2436849,2017-01-01,52.6741935483871
Los Angeles,California,34.0522342,-118.2436849,2017-02-01,55.63214285714286
Los Angeles,California,34.0522342,-118.2436849,2017-03-01,60.99032258064516
Los Angeles,California,34.0522342,-118.2436849,2017-04-01,65.22
Los Angeles,California,34.0522342,-118.2436849,2017-05-01,65.1741935483871
Los Angeles,California,34.0522342,-118.2436849,2017-06-01,69.86
Los Angeles,California,34.0522342,-118.2436849,2017-07-01,74.80645161290323
Los Angeles,California,34.0522342,-118.2436849,2017-08-01,74.46451612903226
Los Angeles,California,34.0522342,-118.2436849,2017-09-01,73.51333333333334
Los Angeles,California,34.0522342,-118.2436849,2017-10-01,71.59354838709677
Los Angeles,California,34.0522342,-118.2436849,2017-11-01,65.18666666666667
Los Angeles,California,34.0522342,-118.2436849,2017-12-01,60.03225806451613
Los Angeles,California,34.0522342,-118.2436849,2018-01-01,59.277419354838706
Los Angeles,California,34.0522342,-118.2436849,2018-02-01,57.45357142857143
Los Angeles,California,34.0522342,-118.2436849,2018-03-01,57.225806451612904
Los Angeles,California,34.0522342,-118.2436849,2018-04-01,62.483333333333334
Los Angeles,California,34.0522342,-118.2436849,2018-05-01,64.0225806451613
Los Angeles,California,34.0522342,-118.2436849,2018-06-01,68.41666666666667
Los Angeles,California,34.0522342,-118.2436849,2018-07-01,77.52258064516128
Los Angeles,California,34.0522342,-118.2436849,2018-08-01,76.48709677419355
Los Angeles,California,34.0522342,-118.2436849,2018-09-01,71.32666666666667
Los Angeles,California,34.0522342,-118.2436849,2018-10-01,67.69999999999999
Los Angeles,California,34.0522342,-118.2436849,2018-11-01,62.809999999999995
Los Angeles,California,34.0522342,-118.2436849,2018-12-01,55.91935483870968
Los Angeles,California,34.0522342,-118.2436849,2019-01-01,54.89032258064516
Los Angeles,California,34.0522342,-118.2436849,2019-02-01,50.175000000000004
Los Angeles,California,34.0522342,-118.2436849,2019-03-01,56.641935483870974
Los Angeles,California,34.0522342,-118.2436849,2019-04-01,63.02333333333333
Los Angeles,California,34.0522342,-118.2436849,2019-05-01,61.693548387096776
Los Angeles,California,34.0522342,-118.2436849,2019-06-01,67.30666666666667
Los Angeles,California,34.0522342,-118.2436849,2019-07-01,72.61290322580645
Los Angeles,California,34.0522342,-118.2436849,2019-08-01,73.04516129032258
Los Angeles,California,34.0522342,-118.2436849,2019-09-01,73.69333333333334
Los Angeles,California,34.0522342,-118.2436849,2019-10-01,68.5
Los Angeles,California,34.0522342,-118.2436849,2019-11-01,61.60333333333333
Los Angeles,California,34.0522342,-118.2436849,2019-12-01,53.8
Los Angeles,California,34.0522342,-118.2436849,2020-01-01,54.73548387096774
Los Angeles,California,34.0522342,-118.2436849,2020-02-01,58.50344827586206
Los Angeles,California,34.0522342,-118.2436849,2020-03-01,56.622580645161285
Los Angeles,California,34.0522342,-118.2436849,2020-04-01,62.07
Los Angeles,California,34.0522342,-118.2436849,2020-05-01,68.05806451612904
Los Angeles,California,34.0522342,-118.2436849,2020-06-01,70.19
Los Angeles,California,34.0522342,-118.2436849,2020-07-01,71.93225806451613
Los Angeles,California,34.0522342,-118.2436849,2020-08-01,76.00645161290322
Los Angeles,California,34.0522342,-118.2436849,2020-09-01,75.56666666666666
Los Angeles,California,34.0522342,-118.2436849,2020-10-01,72.04838709677419
Los Angeles,California,34.0522342,-118.2436849,2020-11-01,61.56333333333334
